title,year,genre,length,plot,star,n_vote,box_office,director,cast,studio,Company
Doctor Strange in the Multiverse of Madness,2022,"['Action', ' Adventure', ' Fantasy']",126 min,"Doctor Strange teams up with a mysterious teenage girl who can travel across multiverses, to battle other-universe versions of himself which threaten to wipe out the multiverse. They seek help from the Scarlet Witch, Wong and others.",6.9,477951,411330000.0,['Sam Raimi'],"['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Benedict Wong']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Black Panther,2018,"['Action', ' Adventure', ' Sci-Fi']",134 min,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",7.3,837483,700060000.0,['Ryan Coogler'],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
American Gangster,2007,"['Biography', ' Crime', ' Drama']",157 min,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",7.8,452479,130160000.0,['Ridley Scott'],"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor', 'Josh Brolin']",Universal Pictures,Universal Pictures
Black Panther: Wakanda Forever,2022,"['Action', ' Adventure', ' Drama']",161 min,The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.,6.7,305484,453720000.0,['Ryan Coogler'],"['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira', 'Winston Duke']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
American Pie 2,2001,['Comedy'],108 min,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun.",6.4,270120,145100000.0,['J.B. Rogers'],"['Jason Biggs', 'Seann William Scott', 'Shannon Elizabeth', 'Alyson Hannigan']",Universal Pictures,Universal Pictures
Anger Management,2003,['Comedy'],106 min,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",6.2,228405,135650000.0,['Peter Segal'],"['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán']",Columbia Pictures,Others
Miss Congeniality,2000,"['Action', ' Comedy', ' Crime']",109 min,An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,6.3,230234,106810000.0,['Donald Petrie'],"['Sandra Bullock', 'Michael Caine', 'Benjamin Bratt', 'Candice Bergen']",Warner Bros.,Warner Bros.
Lightyear,2022,"['Animation', ' Action', ' Adventure']",105 min,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",6.1,123811,118310000.0,['Angus MacLane'],"['Chris Evans', 'Keke Palmer', 'Peter Sohn', 'Taika Waititi']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
The Silence of the Lambs,1991,"['Crime', ' Drama', ' Thriller']",118 min,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,1547964,130740000.0,['Jonathan Demme'],"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine']",Orion Pictures,Others
Crocodile Dundee,1986,"['Action', ' Adventure', ' Comedy']",97 min,An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.,6.6,115438,174640000.0,['Peter Faiman'],"['Paul Hogan', 'Linda Kozlowski', 'John Meillon', 'David Gulpilil']",Paramount Pictures,Paramount Pictures
The Batman,2022,"['Action', ' Crime', ' Drama']",176 min,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",7.8,786779,369350000.0,['Matt Reeves'],"['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright', 'Colin Farrell']",Warner Bros.,Warner Bros.
Get Out,2017,"['Horror', ' Mystery', ' Thriller']",104 min,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",7.8,696577,176040000.0,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']",Universal Pictures,Universal Pictures
Black Swan,2010,"['Drama', ' Thriller']",108 min,"Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",8.0,824531,106950000.0,['Darren Aronofsky'],"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Winona Ryder']",Fox Searchlight Pictures,Others
Avengers: Infinity War,2018,"['Action', ' Adventure', ' Sci-Fi']",149 min,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,8.4,1202979,678820000.0,[],"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Interview with the Vampire: The Vampire Chronicles,1994,"['Drama', ' Fantasy', ' Horror']",123 min,"A vampire tells his epic life story: love, betrayal, loneliness, and hunger.",7.5,347428,105260000.0,['Neil Jordan'],"['Brad Pitt', 'Tom Cruise', 'Antonio Banderas', 'Kirsten Dunst']",Warner Bros.,Warner Bros.
The Avengers,2012,"['Action', ' Sci-Fi']",143 min,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,8.0,1459204,623280000.0,['Joss Whedon'],"['Robert Downey Jr.', 'Chris Evans', 'Scarlett Johansson', 'Jeremy Renner']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
The Girl with the Dragon Tattoo,2011,"['Crime', ' Drama', ' Mystery']",158 min,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.,7.8,494790,102520000.0,['David Fincher'],"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']",Columbia Pictures,Others
Thor: Ragnarok,2017,"['Action', ' Adventure', ' Comedy']",130 min,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",7.9,815922,315060000.0,['Taika Waititi'],"['Chris Hemsworth', 'Tom Hiddleston', 'Cate Blanchett', 'Mark Ruffalo']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Dodgeball: A True Underdog Story,2004,"['Comedy', ' Sport']",92 min,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,6.7,267165,114330000.0,['Rawson Marshall Thurber'],"['Ben Stiller', 'Christine Taylor', 'Vince Vaughn', 'Rip Torn']",Twentieth Century Fox,Others
Thor,2011,"['Action', ' Fantasy']",115 min,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",7.0,900085,181030000.0,['Kenneth Branagh'],"['Chris Hemsworth', 'Anthony Hopkins', 'Natalie Portman', 'Tom Hiddleston']",Paramount Pictures,Paramount Pictures
Silver Linings Playbook,2012,"['Comedy', ' Drama', ' Romance']",122 min,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",7.7,742663,132090000.0,['David O. Russell'],"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver']",The Weinstein Company,Others
Magic Mike,2012,"['Comedy', ' Drama', ' Music']",110 min,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",6.1,147181,113720000.0,['Steven Soderbergh'],"['Channing Tatum', 'Alex Pettyfer', 'Olivia Munn', 'Matthew McConaughey']",Warner Bros.,Warner Bros.
GoldenEye,1995,"['Action', ' Adventure', ' Thriller']",130 min,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond is assigned to stop a Russian crime syndicate from using the weapon.",7.2,270203,106600000.0,['Martin Campbell'],"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']",United Artists,Others
Thor: The Dark World,2013,"['Action', ' Adventure', ' Fantasy']",112 min,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",6.8,724948,206360000.0,['Alan Taylor'],"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston', 'Stellan Skarsgård']",Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
Bad Moms,2016,['Comedy'],100 min,"When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun and comedic self-indulgence.",6.2,134513,113260000.0,[],"['Mila Kunis', 'Kathryn Hahn', 'Kristen Bell', 'Christina Applegate']",STX Entertainment,Others
