title,genre,length,year,plot,star,n_vote,box_office,director,cast
"Anak mayaman, anak mahirap",Drama,67 min,(1992),"In the Phillipines, a wealthy Americanized young man becomes involved with a strong-willed, quiet farmhand that works for him.",6.7,14,N/A,['Piedro de San Paulo'],"['Edwyn Casas', 'Larry Lachica', 'Maita Talaga']"
Wish for Tomorrow,"Comedy, Drama, Romance",90 min,(2014),"Sydney, Australia. Michael, 24 and James, 28, fall in love unbeknownst to James' parents. The decision to reveal their relationship to their family is soon followed by a tragedy. James' ...                See full summary »",6.7,54,N/A,['Pierre-Nicolas Panasci'],"['Brayden Dalmazzone', 'Mitchell Why', 'Hayley Maher', 'Jahne Coutts-Smith']"
Olya's Love,"Documentary, Drama",70 min,(2014),This is a film about a lesbian couple living in Russia.,6.7,19,N/A,[],[]
Before Homosexuals,Documentary,87 min,(2017),"""Before Homosexuals"" is a prelude to the award-winning films, ""Before Stonewall"" and ""After Stonewall"", and together will form a trilogy. This trilogy will improve understanding and respect...                See full summary »",6.7,48,N/A,['John Scagliotti'],"['Janet Afary', 'Laetitia Andrieu', 'Susan Bonthron', 'Bernadette Brooten']"
El destello de la luna,"Comedy, Drama",93 min,(2016),"A jobless gay actor is offered the dream role of a lifetime in a feature film, but he must play an elderly drag. He will be forced to overcome his fears and prejudices to understand better himself and the others.",6.7,85,N/A,['Gustavo Letelier'],"['Ricardo Herrera', 'Pablo Sotomayor Prat', 'Maximiliano Meneses', 'Paula Leoncini']"
Alec Mapa: Baby Daddy,"Documentary, Biography, Comedy",78 min,(2014),Actor and comedian Alec Mapa's one-man show about how his life has changed since he and his husband adopted a child through foster care.,6.7,133,N/A,['Andrea James'],"['Jamison Hebert', 'Zion Hebert-Mapa', 'Alec Mapa']"
Tuttinsieme,Documentary,82 min,(2020),"Two gay fathers talk to each other and compare with other dads about raising children in Italy between contrasts, doubts and the joy of fatherhood",6.7,32,N/A,['Marco Simon Puccioni'],"['Giampietro Preziosa', 'Marco Simon Puccioni']"
Las flores de la noche,Documentary,85 min,(2020),"Portrays the stories of young trans women from Jalisco with great joy and dignity, where all identities are legitimate and also joyful.",6.7,24,N/A,[],[]
The Rules of Attraction,"Comedy, Drama, Romance",110 min,(2002),"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",6.6,"53,259",$6.53M,['Roger Avary'],"['James Van Der Beek', 'Ian Somerhalder', 'Shannyn Sossamon', 'Jessica Biel']"
Revenge of the Nerds,Comedy,90 min,(1984),"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",6.6,"58,254",$40.90M,['Jeff Kanew'],"['Robert Carradine', 'Anthony Edwards', 'Timothy Busfield', 'Andrew Cassese']"
