title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
The L-Shaped Room,"['Drama', ' Romance']",126 min,1962,"A single, pregnant woman moves into a London boarding house where she meets a group of fellow misfits.",7.3,2230,0.0,['Bryan Forbes'],"['Leslie Caron', 'Anthony Booth', 'Avis Bunnage', 'Patricia Phoenix']",lesbian
Two of Us,"['Drama', ' Romance']",99 min,2019,"Pensioners Nina and Madeleine have hidden their deep and passionate love for many decades, but their bond is put to the test when they are suddenly unable to move freely between each other's apartments.",7.2,3726,0.0,['Filippo Meneghetti'],"['Barbara Sukowa', 'Martine Chevallier', 'Léa Drucker', 'Jérôme Varanfrain']",lesbian
Cours privé,['Drama'],95 min,1986,"Jeanne Kern is a history teacher in a private mixed class. Passionately provocative, she does not ignore the effect she has on men.",5.5,555,0.0,['Pierre Granier-Deferre'],"['Elizabeth Bourgine', 'Michel Aumont', 'Xavier Deluc', 'Sylvia Zerbib']",lesbian
Southern Comforts,['Comedy'],80 min,1971,A beauty contest is staged in the barn of a dimwit called The Colonel. The beauty contest doesn't last too long as The Colonel and his buddies get down to business with the contestants.,4.6,200,0.0,['Bethel Buckalew'],"['Jack Richesin', 'Jacob Often', 'John Tull', 'Judy Angel']",lesbian
Devil in the Flesh,['Drama'],83 min,1969,Based on the infamous novel by Leopold Sacher-Masoch this fine film follows the perverted passions of a young couple as Severin watches the beautiful Wanda writhing naked amongst furs. His ...                See full summary »,5.1,678,0.0,['Massimo Dallamano'],"['Laura Antonelli', 'Régis Vallée', 'Loren Ewing', 'Renate Kasché']",lesbian
Mercy,"['Mystery', ' Thriller']",117 min,2000,Detective Catherine Palmer investigates a series of sexually gruesome serial murders and becomes embroiled in a world of lesbianism and bondage after she becomes obsessed with one of the victims' paramours.,5.4,2339,0.0,['Damian Harris'],"['Ellen Barkin', 'Wendy Crewson', 'Peta Wilson', 'Karen Young']",lesbian
Amici miei,"['Comedy', ' Drama']",140 min,1975,Four inseparable friends try to face their midlife crisis with daytrips and pranks at the expense of their families and the people around them.,7.9,7986,0.0,['Mario Monicelli'],"['Ugo Tognazzi', 'Gastone Moschin', 'Philippe Noiret', 'Duilio Del Prete']",lesbian
Good Manners,"['Fantasy', ' Horror']",135 min,2017,"Clara, a lonely nurse from the outskirts of São Paulo, is hired by mysterious and wealthy Ana as the nanny for her unborn child. The two women develop a strong bond, but a fateful night changes their plans.",6.7,4121,30000.0,[],"['Isabél Zuaa', 'Marjorie Estiano', 'Miguel Lobo', 'Cida Moreira']",lesbian
Boy Meets Girl,"['Comedy', ' Drama', ' Romance']",95 min,2014,"Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams.",7.1,4944,20000.0,['Eric Schaeffer'],"['Michael Welch', 'Michelle Hendley', 'Alexandra Turshen', 'Michael Galante']",lesbian
Nympho: The Lust Story,"['Drama', ' Romance', ' Thriller']",104 min,2020,Nympho is a lust story of a girl called Rachael. She is a nymphomaniac. She is a sex addict. She is not a single man woman.,5.3,56,0.0,['Kumaar Aadarsh'],"['Natasha Majhi', 'Mohnish Nawani', 'Vikhyat Swades', 'Pooja Jangid']",lesbian
Getaway,"['Crime', ' Fantasy', ' Horror']",76 min,2020,"Tamara Miller has planned a weekend lake getaway with her lifelong two best friends. When she gets kidnapped by a backwoods cult, eerie and unexplained occurrences arise. Will she make it ...                See full summary »",4.4,2615,0.0,['Toran Caudell'],"['Jaclyn Betham', 'Scout Taylor-Compton', 'Landry Allbright', 'Toran Caudell']",lesbian
The Carmilla Movie,"['Comedy', ' Romance', ' Thriller']",97 min,2017,"5 years after they vanquished the apocalypse and Carmilla became human, Laura is a journalist. Then Carmilla begins to show signs of ""re-vamping"" while Laura has started having bizarre dreams. Sounds like a new supernatural threat.",6.2,2702,0.0,['Spencer Maybee'],"['Elise Bauman', 'Natasha Negovanlis', 'Annie Briggs', 'Kaitlyn Alexander']",lesbian
Girls on Film: The First Date,"['Comedy', ' Drama', ' Romance']",91 min,2014,"An electric collection of the latest, award-winning lesbian and feminist short films.",6.1,14,0.0,[],"['Elaine Blair', 'Lauren Dempsie', 'Vince Docherty', 'Andromeda Godfrey']",lesbian
Horrors of Malformed Men,['Horror'],99 min,1969,"After escaping from an insane asylum, a medical student assumes the identity of a mysterious dead man, who appeared to be his doppelganger, and gets lured to a sinister island ruled by a mad scientist and his malformed men.",6.5,1883,0.0,['Teruo Ishii'],"['Teruo Yoshida', 'Yukie Kagawa', 'Teruko Yumi', 'Mitsuko Aoi']",lesbian
Bad Girls Go to Hell,"['Crime', ' Drama']",65 min,1965,"After hubby Ted goes to work, Ellen putters around the apartment in her nightgown cleaning up. When she takes the trash out, the janitor forces her into his apartment and rapes her. When he...                See full summary »",4.9,1079,0.0,['Doris Wishman'],"['Gigi Darlene', 'Charles E. Mazin', 'Sam Stewart', 'Gertrude Cross']",lesbian
Serial (Bad) Weddings 2,"['Comedy', ' Drama']",99 min,2019,"Claude and Marie Verneuil face a new crisis: their four daughters' spouses--David, Rachid, Chao, and Charles--have decided to leave France for various reasons. Here they imagine their lives elsewhere.",6.1,9632,0.0,['Philippe de Chauveron'],"['Christian Clavier', 'Chantal Lauby', 'Ary Abittan', 'Medi Sadoun']",lesbian
Gray Matters,"['Comedy', ' Romance']",96 min,2006,"Gray and Sam are brother and sister, best friends, and flatmates in New York City, where she creates ad campaigns and he's a surgery intern. Their social life is too insular, so they head ...                See full summary »",5.7,7336,60000.0,['Sue Kramer'],"['Heather Graham', 'Tom Cavanagh', 'Bridget Moynahan', 'Molly Shannon']",lesbian
Mansion of the Living Dead,['Horror'],93 min,1982,"A group of vacationing waitresses visit a resort hotel on the Canary Islands, only to find that the former monastery's monks nearby have returned as living blind dead.",4.1,812,0.0,['Jesús Franco'],"['Lina Romay', 'Antonio Mayans', 'Mabel Escaño', 'Albino Graziani']",lesbian
Running on Empty Dreams,"['Drama', ' Romance']",120 min,2009,About a married woman who falls in love with a single mom.,4.4,821,0.0,['Nitara Lee Osbourne'],"['Kathleen Benner', 'Rachel Owens', 'Jose Rosete', 'Wil Rillero']",lesbian
Killer Movie,"['Comedy', ' Horror', ' Mystery']",93 min,2008,A reality TV director copes with a spoiled celebutante and a show gone haywire when a masked killer starts bumping off the crew in this slasher-movie satire.,4.4,3112,0.0,['Jeff Fisher'],"['Paul Wesley', 'Kaley Cuoco', 'Gloria Votsis', 'Torrey DeVitto']",lesbian
Red Heat,['Thriller'],104 min,1985,An American woman visiting her fiancée in West Germany is caught up with a defecting spy and captured by those in the East. After brutal interrogation she is placed in a prison along with ...                See full summary »,4.8,885,0.0,[],"['Linda Blair', 'Sylvia Kristel', 'Sue Kiel', 'William Ostrander']",lesbian
13 Conversations About One Thing,['Drama'],104 min,2001,"In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.",7.0,11495,3290000.0,['Jill Sprecher'],"['Alan Arkin', 'John Turturro', 'Matthew McConaughey', 'David Connolly']",lesbian
Happy Campers,['Comedy'],94 min,2001,"When a summer camp director gets injured, the diverse group of college freshmen counselors take charge and spice up the everyday routine of the camp.",5.4,2844,0.0,['Daniel Waters'],"['Brad Renfro', 'Dominique Swain', 'Keram Malicki-Sánchez', 'Emily Bergl']",lesbian
Edge of Seventeen,"['Comedy', ' Drama', ' Romance']",99 min,1998,A teenager copes with his sexuality on the last day of school in 1984. It shows him coping with being gay and being with friends.,6.8,7108,870000.0,['David Moreton'],"['Chris Stafford', 'Tina Holmes', 'Andersen Gabrych', 'Stephanie McVay']",lesbian
Superchick,"['Action', ' Comedy']",94 min,1973,"Tara B. True is a flight attendant who makes a weekly swing through New York, Miami, and Los Angeles. In each city, she has a man: Edward, older and wealthy; Johnny, a beach bum with ...                See full summary »",3.8,635,0.0,['Ed Forsyth'],"['Joyce Jillson', 'Louis Quinn', 'Thomas Reardon', 'Tony Young']",lesbian
Chastity,"['Drama', ' Romance']",83 min,1969,"After bumming across the Southwest, a tough, young woman steals a car and runs off to Mexico, where she visits a bordello and is indoctrinated by a lesbian.",4.8,570,0.0,['Alessio de Paola'],"['Cher', 'Barbara London', 'Steve Whittaker', 'Tom Nolan']",lesbian
Songcatcher,"['Drama', ' Music']",109 min,2000,"After being denied a promotion at the university where she teaches, Doctor Lily Penleric, a brilliant musicologist, impulsively visits her sister, who runs a struggling rural school in ...                See full summary »",7.3,3683,3050000.0,['Maggie Greenwald'],"['Janet McTeer', 'Michael Harding', 'Michael Davis', 'Michael Goodwin']",lesbian
Badhaai Do,"['Comedy', ' Crime', ' Drama']",147 min,2022,Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.,7.0,21106,0.0,['Harshavardhan Kulkarni'],"['Rajkummar Rao', 'Bhumi Pednekar', 'Chum Darang', 'Sheeba Chaddha']",lesbian
Animals,"['Horror', ' Thriller']",93 min,2009,"An unsuspecting, down-and-out man in a washed-up hick town has his life turned upside down when a drop-dead gorgeous stranger walks through the door of the local bar.",3.8,903,0.0,['Douglas Aarniokoski'],"['Marc Blucas', 'Naveen Andrews', 'Nicki Aycox', 'Eva Amurri']",lesbian
Wild Cactus,"['Drama', ' Thriller']",92 min,1993,"During a desert retreat, a married couple cross paths with a murderous ex-convict and his partner in crime.",4.5,358,0.0,['Jag Mundhra'],"['David Naughton', 'India Allen', 'Gary Hudson', 'Michelle Moffett']",lesbian
Tintorera: Killer Shark,"['Drama', ' Horror', ' Romance']",126 min,1977,Two shark hunters flirt with an attractive British lady while hunting down a large tiger shark terrorizing the Mexican East coast.,4.1,1519,0.0,['René Cardona Jr.'],"['Susan George', 'Hugo Stiglitz', 'Andrés García', 'Fiona Lewis']",lesbian
Lez Bomb,"['Comedy', ' Drama']",90 min,2018,"A still closeted young woman brings her girlfriend home for Thanksgiving, only to have her coming out efforts thwarted by the unexpected arrival of her male roommate.",5.2,1635,0.0,['Jenna Laurenzo'],"['Jenna Laurenzo', 'Caitlin Mehner', ""Deirdre O'Connell"", 'Dorothi Fox']",lesbian
Ringmaster,['Comedy'],90 min,1998,Talk show special guests air their grievances backstage and in front of the cameras as the host struggles to manage the mayhem that ensues.,3.3,5372,9250000.0,['Neil Abramson'],"['Jerry Springer', 'Jaime Pressly', 'William McNamara', 'Molly Hagan']",lesbian
Forbidden Sins,"['Crime', ' Drama', ' Thriller']",93 min,1999,Shannon Tweed stars as the divorced defense attorney who gets caught in a passionate love affair with an accused murderer.,4.1,579,0.0,['Robert Angelo'],"['Michael A. Licata', 'Kirstin Pierce', 'Corbin Timbrook', ""Myles O'Brien""]",lesbian
