title,genre,length,year,plot,star,n_vote,box_office,director,cast,keyword
Chastity Bites,"['Comedy', ' Horror']",93 min,2013,"In the early 1600s, Countess Elizabeth Bathory slaughtered more than 600 young women, believing that if she bathed in the blood of virgins, she would stay young and beautiful forever. Still...                See full summary »",4.6,1055,0.0,['John V. Knowles'],"['Allison Scagliotti', 'Francia Raisa', 'Louise Griffiths', 'Eddy Rioseco']",lesbian
The Sex Adventures of the Three Musketeers,['Comedy'],79 min,1971,"An ""adults only"" retelling of the legend of the Three Musketeers.",3.0,346,0.0,['Erwin C. Dietrich'],"['Peter Graf', 'Ingrid Steeger', 'Nadia Pilar', 'Li Huber']",lesbian
Lady in Waiting,"['Crime', ' Drama', ' Mystery']",84 min,1994,"A divorced cop investigating the sadistic murders of high-class prostitutes discovers that the prime suspect is his ex-wife's new boyfriend. He tries to warn her about him, but she treats his suspicions as jealousy.",4.2,412,0.0,['Fred Gallo'],"['Michael Nouri', 'Robert Costanzo', 'Shannon Whirry', 'Crystal Chappell']",lesbian
Christina,"['Drama', ' Romance', ' Thriller']",91 min,1984,The world's most notorious heiress and bachelorette is kidnapped from the Italian countryside. Will she survive the ordeal?,4.2,403,0.0,['Francisco Lara Polop'],"['Jewel Shepard', 'Ian Serra', 'Enrique Johnson', 'Emilio Linder']",lesbian
Two and One,['Drama'],115 min,2022,"A gay couple realizes they aren't sexually compatible, so they look for a third man. But when betrayal and jealousy sneak in, their relationship shatters into pieces.",6.3,250,0.0,['Ivan Andrew Payawal'],"['Miggy Jimenez', 'Cedrick Juan', 'Paolo Pangilinan', 'Raquel Monteza']",lesbian
Devil's Nightmare,"['Fantasy', ' Horror']",95 min,1971,A group of tourists traveling on a bus take a detour to stay overnight in a castle owned by a family cursed with a history of Satanism and death.,5.9,2185,0.0,['Jean Brismée'],"['Erika Blanc', 'Jean Servais', 'Daniel Emilfork', 'Lucien Raimbourg']",lesbian
Assassination of a High School President,"['Comedy', ' Crime', ' Mystery']",93 min,2008,"At a Catholic high school, a sophomore newspaper reporter investigates a case of stolen SAT exams. He thinks he's nailed the suspect and managed to get the popular girl when he realises a larger conspiracy is afoot.",6.2,16355,0.0,['Brett Simon'],"['Reece Thompson', 'Mischa Barton', 'Bruce Willis', 'Michael Rapaport']",lesbian
Blush,"['Comedy', ' Drama', ' Romance']",84 min,2015,"Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends.",5.9,900,0.0,['Michal Vinik'],"['Sivan Noam Shimon', 'Hadas Jade Sakori', 'Dvir Benedek', 'Irit Pashtan']",lesbian
Conception,"['Comedy', ' Romance']",88 min,2011,"A comedy that follows nine very different couples on the night they conceive, showing that sex can sometimes be more neurotic than erotic.",5.3,1419,0.0,['Josh Stolberg'],"['Pamela Adlon', 'David Arquette', 'Aaron Ashmore', 'Moon Bloodgood']",lesbian
The Long Swift Sword of Siegfried,"['Action', ' Adventure', ' Fantasy']",92 min,1971,"An ""adults only"" retelling of the legend of Siegfried.",4.2,250,0.0,[],"['Raimund Harmstorf', 'Sybil Danning', 'Heidy Bohlen', 'Carlheinz Heitmann']",lesbian
The Playbirds,"['Crime', ' Drama', ' Horror']",94 min,1978,"Two detectives are drawn into the world of porn, while investigating murders of centrefolds...",4.3,534,0.0,['Willy Roe'],"['Mary Millington', 'Glynn Edwards', 'Gavin Campbell', 'Alan Lake']",lesbian
"Don Juan, or If Don Juan Were a Woman",['Drama'],87 min,1973,"A modern-day Don Juan-styled woman, who prides herself in the destruction of men who have fallen for her charms, reveals to a priest the murder she has committed and honestly details her past sexual encounters.",5.0,1166,0.0,['Roger Vadim'],"['Brigitte Bardot', 'Robert Hossein', 'Mathieu Carrière', 'Michèle Sand']",lesbian
Alto,"['Comedy', ' Family', ' Romance']",101 min,2015,"Two girls. One gun. The Mob. Because coming out to family is hard. But coming out to ""family"" is funny.",4.9,725,0.0,['Mikki del Monico'],"['Annabella Sciorra', 'Billy Wirth', 'Natalie Knepp', 'Melanie Minichino']",lesbian
The Night of the Werewolf,['Horror'],92 min,1981,"An evil witch brings back to life the infamous Elizabeth Bathory, who was executed several hundred years previously for murdering young woman and bathing in their blood.",5.8,1072,0.0,['Paul Naschy'],"['Paul Naschy', 'Julia Saly', 'Silvia Aguilar', 'Azucena Hernández']",lesbian
The Maidens' Conspiracy,"['Adventure', ' Romance']",122 min,2006,"Tirante the knight is as committed to fighting the Turks in Constantinople as he is to relieving Carmesina, the heiress to the Byzantine Empire, of her virginity.",4.0,1020,0.0,['Vicente Aranda'],"['Caspar Zafer', 'Esther Nubiola', 'Leonor Watling', 'Ingrid Rubio']",lesbian
Sinful,"['Horror', ' Thriller']",74 min,2020,"On the run after committing a horrific crime, newlywed couple Remy and Salem find themselves trapped in a mysterious house as a terrifying darkness closes in on them.",2.9,2409,0.0,['Rich Mallery'],"[""Nicole D'Angelo"", 'Chris Spinelli', 'Christina Lo']",lesbian
Chinese Puzzle,"['Comedy', ' Drama', ' Romance']",117 min,2013,"A 40-year-old father's life is complicated when the mother of his two children moves to New York. Since he can't bear them growing up far away from him, he decides to move there as well.",6.9,15285,340000.0,['Cédric Klapisch'],"['Romain Duris', 'Audrey Tautou', 'Cécile de France', 'Kelly Reilly']",lesbian
Sorceress II: The Temptress,"['Fantasy', ' Horror', ' Thriller']",82 min,1997,"A bevy of beautiful women are invading the dreams of men in order to gain control of their souls, but when one man's dream turns deadly, he awakens instincts buried deep within him that he uses to retaliate against the Queen of Evil.",3.8,340,0.0,['Richard Styles'],"['Julie Strain', 'Greg Wrangler', 'Sandahl Bergman', 'Julie K. Smith']",lesbian
Virgin Hunters 3: Agents of Passion,"['Comedy', ' Sci-Fi']",83 min,2017,Earth is no place for virgins. The Virgin Hunters are back in the latest installment of the hit series that keeps - going.,5.1,114,0.0,['Cybil Richards'],"['Dru Berrymore', 'Chelsea Blue', 'Maya Divine', 'Felony']",lesbian
School for Unclaimed Girls,"['Crime', ' Drama']",95 min,1969,A traumatized and troubled teenager is sent to an all-girls detention home where she strikes up an unlikely friendship with a fellow inmate.,4.9,230,0.0,['Robert Hartford-Davis'],"['Madeleine Hinde', 'Renée Asherson', 'Dennis Waterman', 'Patrick Mower']",lesbian
The Libertine,"['Comedy', ' History']",100 min,2000,The 'philosopher' (modernist intellectual of the French 18th-century Enlightenment) Denis Diderot is part of an aristocratic circle which practices the libertarian principles on the rural ...                See full summary »,6.3,1820,0.0,['Gabriel Aghion'],"['Vincent Perez', 'Fanny Ardant', 'Josiane Balasko', 'Michel Serrault']",lesbian
The Feels,"['Comedy', ' Romance']",90 min,2017,A lesbian bachelorette weekend goes awry when one of the brides admits she's never had an orgasm.,5.1,2265,0.0,['Jenée LaMarque'],"['Constance Wu', 'Angela Trimbur', 'Josh Fadem', 'Jenée LaMarque']",lesbian
Head On,"['Drama', ' Romance']",104 min,1998,A 19 year old Greek Australian youth struggles with his sexual identity and has one clumsy heterosexual and several homosexual encounters.,6.5,4626,380000.0,['Ana Kokkinos'],"['Alex Dimitriades', 'Elle Mandalis', 'Damien Fotiou', 'Alex Papps']",lesbian
Eternal,"['Horror', ' Mystery', ' Thriller']",107 min,2004,"Detective Raymond Pope is a detective of questionable morals, searching for his missing wife. His investigation leads him to the wealthy estate of the enigmatic Elizabeth Kane and her young maid Irina.",4.8,1499,30000.0,[],"['Caroline Néron', 'Sarah Manninen', 'Victoria Sanchez', 'Conrad Pla']",lesbian
Scarce,"['Horror', ' Thriller']",93 min,2008,"SCARCE depicts the gruesome fate of three lost snowboarders trapped at an isolated forest cabin owned by two menacing locals who harvest human flesh. As the day of the slaughter nears, they...                See full summary »",4.1,1094,0.0,[],"['Steve Warren', 'Gary Fischer', 'Chris Warrilow', 'Thomas Webb']",lesbian
